product_id,product_name,category,price,avg_rating,n_reviews
P0001,Product 1,Toys,36.13,2.7,1767
P0002,Product 2,Home & Garden,24.56,4.1,772
P0003,Product 3,Sports,36.3,2.6,1858
P0004,Product 4,Toys,4.54,4.0,410
P0005,Product 5,Books,26.58,4.9,633
P0006,Product 6,Automotive,47.33,3.9,776
P0007,Product 7,Sports,145.17,3.5,1336
P0008,Product 8,Sports,19.72,4.1,928
P0009,Product 9,Toys,14.75,3.6,1240
P0010,Product 10,Clothing,20.05,3.9,1262
P0011,Product 11,Books,82.72,4.9,862
P0012,Product 12,Toys,46.01,3.5,1943
P0013,Product 13,Books,19.5,4.9,587
P0014,Product 14,Books,55.33,4.8,84
P0015,Product 15,Automotive,36.49,3.0,444
P0016,Product 16,Sports,87.24,2.7,112
P0017,Product 17,Home & Garden,16.41,2.8,1455
P0018,Product 18,Automotive,23.86,2.5,1737
P0019,Product 19,Automotive,22.37,2.7,773
P0020,Product 20,Books,7.66,4.2,747
P0021,Product 21,Beauty,44.53,2.7,815
P0022,Product 22,Sports,42.99,3.3,1339
P0023,Product 23,Clothing,33.29,4.6,107
P0024,Product 24,Automotive,26.19,2.6,1883
P0025,Product 25,Home & Garden,8.04,4.5,807
P0026,Product 26,Beauty,21.74,3.2,1368
P0027,Product 27,Beauty,23.51,2.8,868
P0028,Product 28,Clothing,14.85,4.2,444
P0029,Product 29,Automotive,28.18,4.1,456
P0030,Product 30,Home & Garden,49.6,4.7,1341
P0031,Product 31,Sports,218.37,4.3,258
P0032,Product 32,Electronics,39.43,4.5,175
P0033,Product 33,Home & Garden,42.84,3.2,1514
P0034,Product 34,Clothing,30.74,2.9,993
P0035,Product 35,Beauty,4.86,4.4,1368
P0036,Product 36,Sports,32.25,4.5,1029
P0037,Product 37,Home & Garden,35.17,5.0,551
P0038,Product 38,Electronics,388.87,3.5,768
P0039,Product 39,Electronics,27.32,3.4,1139
P0040,Product 40,Books,44.77,4.4,1596
P0041,Product 41,Books,31.99,3.4,90
P0042,Product 42,Toys,10.29,4.8,142
P0043,Product 43,Clothing,103.84,4.6,806
P0044,Product 44,Automotive,70.24,3.6,909
P0045,Product 45,Home & Garden,73.04,4.4,147
P0046,Product 46,Home & Garden,13.34,4.4,193
P0047,Product 47,Automotive,134.67,2.8,1434
P0048,Product 48,Toys,8.15,4.8,1363
P0049,Product 49,Beauty,59.55,3.8,794
P0050,Product 50,Beauty,296.03,4.6,1541
P0051,Product 51,Toys,12.3,3.3,1885
P0052,Product 52,Beauty,18.8,4.7,993
P0053,Product 53,Books,36.59,3.5,78
P0054,Product 54,Home & Garden,20.02,2.5,555
P0055,Product 55,Toys,7.02,4.8,1807
P0056,Product 56,Home & Garden,35.47,2.7,62
P0057,Product 57,Automotive,11.45,3.3,1483
P0058,Product 58,Electronics,53.18,4.9,214
P0059,Product 59,Books,13.2,4.9,135
P0060,Product 60,Sports,156.01,3.9,1780
P0061,Product 61,Books,15.13,4.1,52
P0062,Product 62,Toys,24.0,3.6,1785
P0063,Product 63,Sports,74.7,3.2,1916
P0064,Product 64,Electronics,9.67,3.3,120
P0065,Product 65,Toys,41.57,4.2,770
P0066,Product 66,Clothing,122.38,4.4,1696
P0067,Product 67,Home & Garden,6.64,4.5,1216
P0068,Product 68,Electronics,39.83,4.5,857
P0069,Product 69,Home & Garden,42.94,2.7,104
P0070,Product 70,Beauty,72.37,3.7,1407
P0071,Product 71,Clothing,9.61,2.6,1945
P0072,Product 72,Clothing,8.84,3.9,1553
P0073,Product 73,Electronics,55.81,3.6,909
P0074,Product 74,Clothing,44.57,4.7,369
P0075,Product 75,Sports,42.54,3.4,909
P0076,Product 76,Clothing,46.83,2.8,1729
P0077,Product 77,Home & Garden,16.78,2.9,290
P0078,Product 78,Home & Garden,41.77,4.4,1228
P0079,Product 79,Toys,44.39,4.0,1897
P0080,Product 80,Home & Garden,16.21,2.8,1228
P0081,Product 81,Toys,213.96,2.7,676
P0082,Product 82,Home & Garden,53.19,4.3,102
P0083,Product 83,Sports,10.06,2.7,681
P0084,Product 84,Automotive,63.85,4.6,1979
P0085,Product 85,Toys,12.49,4.3,70
P0086,Product 86,Books,72.75,2.7,643
P0087,Product 87,Beauty,105.49,2.7,1084
P0088,Product 88,Electronics,14.58,5.0,1436
P0089,Product 89,Home & Garden,86.78,3.4,1822
P0090,Product 90,Clothing,50.04,3.4,1038
P0091,Product 91,Automotive,75.34,4.5,1499
P0092,Product 92,Home & Garden,220.7,4.9,613
P0093,Product 93,Clothing,25.91,5.0,691
P0094,Product 94,Beauty,15.58,4.4,1862
P0095,Product 95,Beauty,13.61,3.4,543
P0096,Product 96,Beauty,14.65,2.7,1438
P0097,Product 97,Clothing,30.66,4.4,847
P0098,Product 98,Home & Garden,46.58,3.9,1546
